month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
April,Friday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,18.0
March,Tuesday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,0.0
May,Monday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,25.00089508616875
September,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Rainy,Minor,Minor,9.58952342748558
May,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,9.827600497306257
March,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,2.827600497306258
September,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,1.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Severe,Minor,9.655200994612516
April,Thursday,Karnataka,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,1,31-50,Under 18,Wet,Dark,Clear,Severe,Minor,19.0
August,Wednesday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Wet,Dark,Rainy,Minor,Minor,3.0
June,Tuesday,Odisha,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
January,Tuesday,Rajasthan,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,6.0
November,Saturday,Unknown,Truck,Unidentified,3,Over 51,Unknown,Wet,Daylight,Cold,Minor,Minor,13.0
October,Tuesday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Wet,Dark,Clear,Minor,Minor,21.0
July,Thursday,Delhi,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
June,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Rainy,Minor,Minor,3.0
July,Wednesday,Himachal Pradesh,Truck,Gorge,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Wednesday,Bihar,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
May,Saturday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,5.589523427485578
August,Sunday,Madhya Pradesh,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Rainy,Severe,Minor,31.0
March,Wednesday,Kerala,Truck,Unidentified,4,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Severe,60.0
November,Friday,Uttar Pradesh,Truck,Unidentified,2,Over 51,Unknown,Damaged/Construction,Daylight,Clear,Severe,Minor,21.0
April,Monday,Tamil Nadu,Truck,Unidentified,4,18-30,Unknown,Dry,Daylight,Rainy,Minor,Severe,21.0
May,Friday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Minor,4.0
February,Saturday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
May,Sunday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,0.0
April,Wednesday,Unknown,Truck,Unidentified,3,18-30,31-50,Dry,Daylight,Clear,Severe,Minor,35.82760049730626
March,Thursday,Punjab,Truck,Unidentified,5,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Severe,45.0
October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,4.4391725775346025
October,Monday,Maharashtra,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
October,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,11.0
April,Thursday,Gujarat,Truck,Unidentified,5,18-30,Unknown,Wet,Daylight,Fog/Mist,Minor,Minor,35.0
March,Tuesday,Unknown,Truck,Unidentified,1,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,14.480550393295506
June,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,3.0
July,Wednesday,Telangana,Car,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,0.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Severe,57.37954019034726
September,Monday,Unknown,Truck,Unidentified,2,Over 51,31-50,Wet,Dark,Rainy,Minor,Minor,4.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Minor,Minor,4.0
June,Wednesday,Haryana,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
July,Thursday,Puducherry,Truck,Unidentified,2,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,39.0
April,Sunday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,12.651570293761663
May,Saturday,Unknown,Truck,Unidentified,3,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,27.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,11.229210376475663
May,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,6.0
April,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,4.0
March,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Clear,Minor,Minor,19.388470426159135
January,Sunday,Tamil Nadu,Car,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,0.0
May,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
June,Saturday,Tamil Nadu,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,4.0
April,Wednesday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,38.373079874525594
April,Wednesday,Unknown,Truck,Unidentified,4,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,27.0
October,Sunday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Dry,Daylight,Clear,Minor,Minor,1.8276004973062576
May,Friday,Unknown,Truck,Two_Wheeler,2,Unknown,Unknown,Dry,Dark,Clear,Minor,Severe,0.0
August,Wednesday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Friday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,2.7059031459879814
May,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,6.330486809869735
March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,26.705903145987982
February,Friday,Gujarat,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,0.0
August,Thursday,Chandigarh,Truck,Unidentified,3,31-50,Unknown,Dry,Twilight,Clear,Severe,Severe,37.0
May,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,9.705903145987982
August,Monday,Bihar,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,23.0
April,Saturday,Uttarakhand,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Severe,27.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,1.0
July,Monday,Madhya Pradesh,Truck,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,1.0
February,Tuesday,Tamil Nadu,Van,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
July,Tuesday,Punjab,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Severe,Minor,5.655200994612516
May,Tuesday,Haryana,Suv,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
March,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,3.0
October,Wednesday,Unknown,Truck,Unidentified,1,18-30,31-50,Dry,Dark,Clear,Severe,Minor,19.0
January,Tuesday,West Bengal,Truck,Unidentified,4,18-30,Unknown,Dry,Twilight,Fog/Mist,Severe,Severe,28.000000000000004
May,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,30.15114193954156
December,Monday,Uttar Pradesh,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Minor,Severe,13.0
December,Wednesday,Karnataka,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Minor,23.0
June,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,1.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,1.8276004973062576
October,Thursday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,11.0
April,Wednesday,Punjab,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
June,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,3.0
April,Friday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
August,Friday,Madhya Pradesh,Pedestrian,Truck,2,Unknown,Under 18,Dry,Dark,Clear,Severe,Severe,0.0
December,Tuesday,Maharashtra,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,0.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,2.6552009946125157
February,Monday,Uttar Pradesh,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Fog/Mist,Severe,Severe,23.0
May,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,0.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,22.58101130433061
April,Monday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,4.0
August,Saturday,Jammu and Kashmir,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Fog/Mist,Minor,Severe,41.0
April,Monday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Severe,Minor,10.321311466481049
October,Friday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Dark,Clear,Minor,Minor,30.0
April,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Severe,Minor,21.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Dry,Daylight,Clear,Minor,Minor,5.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Daylight,Clear,Severe,Minor,8.0
December,Sunday,Jharkhand,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
February,Tuesday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,11.935071016076167
September,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Minor,0.0
January,Saturday,Chhattisgarh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,19.83575200362372
June,Thursday,Maharashtra,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Clear,Minor,Minor,8.0
March,Sunday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Severe,Minor,5.0
October,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,10.827600497306257
February,Monday,Goa,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,45.0
April,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,3.0
April,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,22.106690794005797
March,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,12.952255216115011
January,Friday,West Bengal,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Thursday,Unknown,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Clear,Severe,Minor,29.705903145987982
April,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,1.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,2.878059504616737
November,Wednesday,Andhra Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,1,Under 18,31-50,Dry,Dark,Clear,Severe,Minor,28.999999999999996
October,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,0.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,22.58101130433061
October,Tuesday,Mizoram,Truck,Unidentified,1,Over 51,Unknown,Dry,Twilight,Clear,Severe,Severe,34.0
August,Wednesday,Meghalaya,Truck,Unidentified,5,Over 51,Unknown,Dry,Twilight,Rainy,Minor,Minor,27.0
October,Tuesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,1.0
May,Saturday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,15.0
August,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,1.0
October,Tuesday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Dark,Clear,Minor,Minor,12.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Severe,Minor,41.92197406945337
September,Tuesday,Assam,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
May,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Severe,Minor,4.0
March,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,11.417123924791834
October,Wednesday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,5.361104140600497
August,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Dark,Rainy,Minor,Minor,5.0
October,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Minor,Minor,30.981973210836877
March,Tuesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Daylight,Clear,Severe,Minor,9.615408320493067
April,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,1.0
March,Tuesday,Unknown,Truck,Unidentified,2,31-50,Over 51,Wet,Daylight,Clear,Severe,Minor,12.0
April,Monday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,24.0
January,Monday,Maharashtra,Car,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,1.0
May,Tuesday,Manipur,Truck,Unidentified,5,18-30,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,50.0
March,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,8.905668934240364
May,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,11.905668934240364
November,Tuesday,West Bengal,Truck,Unidentified,4,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,34.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Severe,68.56091243524035
June,Saturday,Unknown,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,2.0
April,Saturday,Unknown,Truck,Unidentified,4,18-30,Under 18,Dry,Daylight,Clear,Severe,Minor,19.705903145987982
December,Thursday,Tamil Nadu,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
March,Thursday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
November,Sunday,Manipur,Truck,Unidentified,4,31-50,Unknown,Wet,Dark,Rainy,Severe,Minor,28.000000000000004
September,Sunday,Karnataka,Pedestrian,Truck,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,0.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,36.70590314598798
October,Saturday,Nagaland,Truck,Unidentified,5,18-30,Unknown,Wet,Dark,Rainy,Severe,Severe,28.000000000000004
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,22.67188710396897
October,Monday,Unknown,Truck,Unidentified,4,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,15.0
February,Thursday,Bihar,Auto Rickshaw,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,0.0
March,Sunday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,16.589523427485577
October,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,34.38851293254661
May,Sunday,Gujarat,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
August,Thursday,Punjab,Truck,Unidentified,4,31-50,Unknown,Damaged/Construction,Daylight,Rainy,Severe,Severe,26.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Severe,3.6009780078482074
May,Tuesday,Maharashtra,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
January,Saturday,Uttar Pradesh,Bus,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,1.0
April,Friday,Tamil Nadu,Truck,Unidentified,2,31-50,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,36.0
June,Sunday,Unknown,Truck,Unidentified,2,18-30,Over 51,Wet,Daylight,Rainy,Minor,Minor,8.827600497306257
July,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,6.0
May,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,18.758020029599948
August,Wednesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Daylight,Rainy,Severe,Minor,25.0
March,Friday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,12.696993946255485
March,Saturday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.0
October,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Clear,Minor,Minor,1.0
November,Saturday,West Bengal,Truck,Unidentified,5,31-50,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,46.0
March,Thursday,Unknown,Truck,Unidentified,2,Under 18,18-30,Wet,Daylight,Clear,Severe,Minor,16.0
October,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,1.4444691742710885
April,Sunday,Rajasthan,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
November,Sunday,Unknown,Truck,Car,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,7.000000000000001
April,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
October,Monday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
October,Saturday,Unknown,Truck,Unidentified,6,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,32.361104140600496
March,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,59.27785382002435
December,Monday,West Bengal,Truck,Unidentified,5,18-30,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,32.0
March,Tuesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,8.214003489989688
May,Friday,Goa,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Rainy,Minor,Severe,47.0
March,Sunday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Wet,Dark,Clear,Minor,Severe,54.0
April,Tuesday,Bihar,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
October,Thursday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,36.0
September,Wednesday,Haryana,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
September,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Daylight,Rainy,Minor,Minor,1.0
May,Monday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,40.747323468136365
February,Monday,Uttar Pradesh,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,1,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,0.0
October,Monday,Unknown,Truck,Unidentified,1,Over 51,31-50,Wet,Daylight,Clear,Severe,Minor,9.0
March,Tuesday,Karnataka,Bus,Truck,2,Unknown,18-30,Wet,Daylight,Clear,Severe,Severe,0.0
October,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,3.7059031459879814
April,Tuesday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
January,Saturday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
June,Wednesday,Jharkhand,Truck,Unidentified,5,31-50,Unknown,Dry,Daylight,Rainy,Severe,Severe,42.0
April,Thursday,Unknown,Truck,Unidentified,1,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
October,Tuesday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,14.000000000000002
October,Thursday,Unknown,Truck,Unidentified,4,Unknown,18-30,Wet,Dark,Clear,Minor,Minor,13.0
March,Thursday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
February,Monday,Maharashtra,Car,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,0.0
April,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,2.878059504616737
September,Wednesday,Delhi,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,0.0
April,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,15.655200994612514
June,Tuesday,Puducherry,Truck,Unidentified,3,18-30,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,54.0
April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Dark,Clear,Minor,Minor,6.0
March,Thursday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,4.0
March,Friday,Unknown,Truck,Car,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,2.827600497306258
June,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,0.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,3.0
December,Tuesday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Wet,Daylight,Fog/Mist,Minor,Minor,11.0
September,Sunday,Unknown,Truck,Unidentified,4,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,11.0
September,Wednesday,Karnataka,Pedestrian,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,0.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,48.61654542506363
May,Thursday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Dark,Clear,Minor,Minor,2.0
July,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Rainy,Minor,Minor,0.9056689342403628
September,Wednesday,Tamil Nadu,Van,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,0.0
November,Wednesday,Karnataka,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Minor,18.0
July,Saturday,Tripura,Truck,Unidentified,1,31-50,Unknown,Dry,Twilight,Rainy,Severe,Severe,38.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,0.7059031459879815
August,Monday,Unknown,Truck,Unidentified,2,31-50,Over 51,Wet,Dark,Rainy,Minor,Minor,4.0
September,Sunday,West Bengal,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,0.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,22.84073995031653
May,Tuesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,65.54552188360682
May,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,56.78094082069896
September,Wednesday,Rajasthan,Car,Truck,2,Unknown,Under 18,Dry,Dark,Clear,Severe,Severe,0.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,2.827600497306258
June,Saturday,Punjab,Truck,Unidentified,1,31-50,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Severe,38.0
August,Friday,Karnataka,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,33.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,Over 51,Dry,Daylight,Clear,Severe,Minor,18.615408320493067
October,Tuesday,Unknown,Truck,Unidentified,1,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,37.48515729677942
October,Wednesday,Chhattisgarh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,0.0
