,accident_id,source,year,month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,cause_of_accident,road_condition,lighting_condition,fatalities,injuries,casualties,severity,weather_group
725,KAG_000726,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,2,Under 18,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
726,KAG_000727,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
727,KAG_000728,Kaggle_road_csv,0,March,Saturday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
728,KAG_000729,Kaggle_road_csv,0,October,Friday,Unknown,Truck,Unidentified,2,31-50,31-50,Reckless Driving,Dry,Daylight,0,0,2,Minor,Clear
729,KAG_000730,Kaggle_road_csv,0,March,Thursday,Unknown,Truck,Unidentified,2,Unknown,Under 18,Unknown/Other,Dry,Daylight,0,0,1,Minor,Clear
730,KAG_000731,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Lane Violation,Dry,Daylight,0,0,1,Serious,Clear
731,KAG_000732,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Unknown/Other,Dry,Daylight,0,0,1,Serious,Clear
732,KAG_000733,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,1,Over 51,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
733,KAG_000734,Kaggle_road_csv,0,March,Sunday,Unknown,Truck,Unidentified,2,18-30,Unknown,Unknown/Other,Dry,Daylight,0,0,2,Minor,Clear
734,KAG_000735,Kaggle_road_csv,0,April,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Reckless Driving,Wet,Daylight,0,0,1,Serious,Clear
735,KAG_000736,Kaggle_road_csv,0,August,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Lane Violation,Wet,Dark,0,0,1,Minor,Rainy
736,KAG_000737,Kaggle_road_csv,0,September,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Unknown/Other,Wet,Dark,0,0,1,Minor,Rainy
737,KAG_000738,Kaggle_road_csv,0,March,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
738,KAG_000739,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,3,18-30,Unknown,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
739,KAG_000740,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
740,KAG_000741,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
741,KAG_000742,Kaggle_road_csv,0,October,Friday,Unknown,Truck,Unidentified,4,31-50,Over 51,Lane Violation,Dry,Dark,0,0,3,Minor,Clear
742,KAG_000743,Kaggle_road_csv,0,March,Friday,Unknown,Truck,Unidentified,4,31-50,Over 51,Lane Violation,Dry,Dark,0,0,3,Minor,Clear
743,KAG_000744,Kaggle_road_csv,0,April,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
744,KAG_000745,Kaggle_road_csv,0,March,Tuesday,Unknown,Truck,Unidentified,1,31-50,Unknown,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
745,KAG_000746,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Reckless Driving,Wet,Dark,0,0,1,Minor,Clear
746,KAG_000747,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,4,Unknown,18-30,No Distancing/Rear End,Wet,Dark,0,0,3,Minor,Clear
747,KAG_000748,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,3,31-50,Unknown,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
748,KAG_000749,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,3,31-50,31-50,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
749,KAG_000750,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Reckless Driving,Wet,Daylight,0,0,1,Minor,Clear
750,KAG_000751,Kaggle_road_csv,0,October,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
751,KAG_000752,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,1,31-50,Under 18,Reckless Driving,Wet,Dark,0,0,1,Serious,Clear
752,KAG_000753,Kaggle_road_csv,0,May,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
753,KAG_000754,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
754,KAG_000755,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Lane Violation,Wet,Dark,0,0,1,Minor,Clear
755,KAG_000756,Kaggle_road_csv,0,October,Monday,Unknown,Truck,Unidentified,2,Over 51,18-30,Lane Violation,Dry,Daylight,0,0,1,Serious,Clear
756,KAG_000757,Kaggle_road_csv,0,July,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Wet,Dark,0,0,6,Minor,Rainy
757,KAG_000758,Kaggle_road_csv,0,September,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Lane Violation,Wet,Dark,0,0,6,Minor,Rainy
758,KAG_000759,Kaggle_road_csv,0,August,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,No Distancing/Rear End,Wet,Dark,0,0,6,Minor,Rainy
759,KAG_000760,Kaggle_road_csv,0,September,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,No Distancing/Rear End,Wet,Dark,0,0,6,Minor,Rainy
760,KAG_000761,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,3,18-30,Unknown,Reckless Driving,Dry,Dark,0,0,2,Minor,Clear
761,KAG_000762,Kaggle_road_csv,0,January,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Lane Violation,Wet,Dark,0,0,1,Minor,Fog/Mist
762,KAG_000763,Kaggle_road_csv,0,April,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
763,KAG_000764,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,2,Over 51,18-30,Reckless Driving,Wet,Dark,0,0,2,Minor,Clear
764,KAG_000765,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Reckless Driving,Wet,Dark,0,0,2,Minor,Clear
765,KAG_000766,Kaggle_road_csv,0,May,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
766,KAG_000767,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,1,Unknown,31-50,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
767,KAG_000768,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Lane Violation,Wet,Daylight,0,0,1,Minor,Clear
768,KAG_000769,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Lane Violation,Wet,Daylight,0,0,1,Minor,Clear
769,KAG_000770,Kaggle_road_csv,0,October,Sunday,Unknown,Truck,Unidentified,2,Over 51,Over 51,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
770,KAG_000771,Kaggle_road_csv,0,April,Thursday,Unknown,Truck,Unidentified,1,31-50,Unknown,Drunk/Drug Driving,Dry,Daylight,0,0,2,Minor,Clear
771,KAG_000772,Kaggle_road_csv,0,May,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
772,KAG_000773,Kaggle_road_csv,0,July,Friday,Unknown,Truck,Unidentified,1,31-50,Unknown,No Distancing/Rear End,Wet,Dark,0,0,1,Serious,Rainy
773,KAG_000774,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,1,Unknown,31-50,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
774,KAG_000775,Kaggle_road_csv,0,April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Loss of Control,Dry,Daylight,0,0,1,Minor,Clear
775,KAG_000776,Kaggle_road_csv,0,April,Friday,Unknown,Truck,Unidentified,2,31-50,31-50,Reckless Driving,Dry,Dark,0,0,2,Minor,Clear
776,KAG_000777,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,1,31-50,Unknown,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
777,KAG_000778,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Drunk/Drug Driving,Wet,Daylight,0,0,1,Minor,Clear
778,KAG_000779,Kaggle_road_csv,0,March,Saturday,Unknown,Truck,Unidentified,1,31-50,31-50,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
779,KAG_000780,Kaggle_road_csv,0,July,Saturday,Unknown,Truck,Unidentified,1,31-50,Unknown,Drunk/Drug Driving,Wet,Daylight,0,0,1,Minor,Rainy
780,KAG_000781,Kaggle_road_csv,0,October,Friday,Unknown,Truck,Unidentified,2,Unknown,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
781,KAG_000782,Kaggle_road_csv,0,April,Tuesday,Unknown,Truck,Unidentified,3,18-30,Under 18,No Distancing/Rear End,Dry,Daylight,0,0,3,Minor,Clear
782,KAG_000783,Kaggle_road_csv,0,March,Tuesday,Unknown,Truck,Unidentified,3,18-30,Under 18,Lane Violation,Dry,Daylight,0,0,3,Minor,Clear
783,KAG_000784,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,2,Over 51,18-30,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
784,KAG_000785,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
785,KAG_000786,Kaggle_road_csv,0,April,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
786,KAG_000787,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,2,Under 18,Unknown,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
787,KAG_000788,Kaggle_road_csv,0,March,Friday,Unknown,Truck,Unidentified,1,Over 51,Under 18,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
788,KAG_000789,Kaggle_road_csv,0,March,Tuesday,Unknown,Truck,Unidentified,2,31-50,Over 51,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
789,KAG_000790,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,Reckless Driving,Dry,Daylight,0,0,2,Minor,Clear
790,KAG_000791,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Reckless Driving,Dry,Daylight,0,0,2,Minor,Clear
791,KAG_000792,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Under 18,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
792,KAG_000793,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
793,KAG_000794,Kaggle_road_csv,0,October,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Lane Violation,Wet,Dark,0,0,1,Minor,Clear
794,KAG_000795,Kaggle_road_csv,0,March,Friday,Unknown,Truck,Unidentified,2,Over 51,Over 51,Lane Violation,Wet,Dark,0,0,1,Minor,Clear
795,KAG_000796,Kaggle_road_csv,0,June,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Lane Violation,Wet,Dark,0,0,1,Minor,Rainy
796,KAG_000797,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Wet,Dark,0,0,1,Minor,Clear
797,KAG_000798,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Reckless Driving,Dry,Daylight,0,0,1,Serious,Clear
798,KAG_000799,Kaggle_road_csv,0,March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
799,KAG_000800,Kaggle_road_csv,0,April,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Lane Violation,Dry,Daylight,0,0,6,Minor,Clear
800,KAG_000801,Kaggle_road_csv,0,October,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,No Distancing/Rear End,Dry,Daylight,0,0,6,Minor,Clear
801,KAG_000802,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,Reckless Driving,Dry,Daylight,0,0,6,Minor,Clear
802,KAG_000803,Kaggle_road_csv,0,October,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Lane Violation,Dry,Daylight,0,0,6,Minor,Clear
803,KAG_000804,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,2,31-50,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
804,KAG_000805,Kaggle_road_csv,0,May,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
805,KAG_000806,Kaggle_road_csv,0,March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
806,KAG_000807,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,2,31-50,31-50,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
807,KAG_000808,Kaggle_road_csv,0,April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
808,KAG_000809,Kaggle_road_csv,0,March,Tuesday,Unknown,Truck,Unidentified,2,18-30,Unknown,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
809,KAG_000810,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,3,18-30,18-30,No Distancing/Rear End,Dry,Dark,0,0,2,Minor,Clear
810,KAG_000811,Kaggle_road_csv,0,April,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Reckless Driving,Wet,Dark,0,0,1,Serious,Clear
811,KAG_000812,Kaggle_road_csv,0,July,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Loss of Control,Wet,Daylight,0,0,1,Minor,Rainy
812,KAG_000813,Kaggle_road_csv,0,April,Tuesday,Unknown,Truck,Unidentified,3,Over 51,18-30,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
813,KAG_000814,Kaggle_road_csv,0,April,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
814,KAG_000815,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
815,KAG_000816,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,1,Unknown,18-30,Drunk/Drug Driving,Dry,Daylight,0,0,1,Minor,Clear
816,KAG_000817,Kaggle_road_csv,0,October,Wednesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
817,KAG_000818,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,No Distancing/Rear End,Dry,Daylight,0,0,2,Minor,Clear
818,KAG_000819,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,Unknown,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
819,KAG_000820,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,1,18-30,Under 18,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
820,KAG_000821,Kaggle_road_csv,0,April,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,No Distancing/Rear End,Dry,Daylight,0,0,2,Minor,Clear
821,KAG_000822,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,2,Minor,Clear
822,KAG_000823,Kaggle_road_csv,0,October,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Lane Violation,Dry,Daylight,0,0,2,Minor,Clear
823,KAG_000824,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,1,31-50,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
824,KAG_000825,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,1,18-30,Unknown,Speeding,Dry,Daylight,0,0,1,Minor,Clear
825,KAG_000826,Kaggle_road_csv,0,March,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Loss of Control,Dry,Dark,0,0,1,Minor,Clear
826,KAG_000827,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,3,Unknown,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
827,KAG_000828,Kaggle_road_csv,0,March,Saturday,Unknown,Truck,Unidentified,2,31-50,Unknown,Loss of Control,Dry,Daylight,0,0,1,Minor,Clear
828,KAG_000829,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,2,31-50,Unknown,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
829,KAG_000830,Kaggle_road_csv,0,March,Friday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Lane Violation,Dry,Dark,0,0,1,Serious,Clear
830,KAG_000831,Kaggle_road_csv,0,April,Thursday,Unknown,Truck,Unidentified,2,31-50,Over 51,Drunk/Drug Driving,Dry,Daylight,0,0,1,Minor,Clear
831,KAG_000832,Kaggle_road_csv,0,October,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
832,KAG_000833,Kaggle_road_csv,0,April,Thursday,Unknown,Truck,Unidentified,2,Over 51,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
833,KAG_000834,Kaggle_road_csv,0,August,Friday,Unknown,Truck,Unidentified,1,31-50,31-50,Reckless Driving,Wet,Daylight,0,0,1,Minor,Rainy
834,KAG_000835,Kaggle_road_csv,0,April,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
835,KAG_000836,Kaggle_road_csv,0,May,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Loss of Control,Dry,Daylight,0,0,1,Minor,Clear
836,KAG_000837,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
837,KAG_000838,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,1,31-50,Unknown,Reckless Driving,Wet,Daylight,0,0,1,Minor,Clear
838,KAG_000839,Kaggle_road_csv,0,April,Wednesday,Unknown,Truck,Unidentified,1,Unknown,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
839,KAG_000840,Kaggle_road_csv,0,May,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
840,KAG_000841,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
841,KAG_000842,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
842,KAG_000843,Kaggle_road_csv,0,March,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
843,KAG_000844,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
844,KAG_000845,Kaggle_road_csv,0,April,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
845,KAG_000846,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,31-50,Over 51,No Distancing/Rear End,Dry,Dark,0,0,1,Minor,Clear
846,KAG_000847,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,Unknown,18-30,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
847,KAG_000848,Kaggle_road_csv,0,October,Tuesday,Unknown,Truck,Unidentified,2,18-30,Under 18,Reckless Driving,Dry,Dark,0,0,1,Minor,Clear
848,KAG_000849,Kaggle_road_csv,0,May,Tuesday,Unknown,Truck,Unidentified,2,Under 18,31-50,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
849,KAG_000850,Kaggle_road_csv,0,March,Tuesday,Unknown,Truck,Unidentified,3,18-30,18-30,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
850,KAG_000851,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,2,Over 51,Under 18,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
851,KAG_000852,Kaggle_road_csv,0,August,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,No Distancing/Rear End,Wet,Dark,0,0,1,Minor,Rainy
852,KAG_000853,Kaggle_road_csv,0,July,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Lane Violation,Wet,Dark,0,0,1,Minor,Rainy
853,KAG_000854,Kaggle_road_csv,0,October,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
854,KAG_000855,Kaggle_road_csv,0,March,Saturday,Unknown,Truck,Unidentified,2,18-30,Over 51,Drunk/Drug Driving,Dry,Daylight,0,0,2,Minor,Clear
855,KAG_000856,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,1,18-30,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Serious,Clear
856,KAG_000857,Kaggle_road_csv,0,October,Monday,Unknown,Truck,Unidentified,1,18-30,18-30,Lane Violation,Dry,Daylight,0,0,2,Serious,Clear
857,KAG_000858,Kaggle_road_csv,0,March,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
858,KAG_000859,Kaggle_road_csv,0,April,Wednesday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Drunk/Drug Driving,Dry,Daylight,0,0,1,Minor,Clear
859,KAG_000860,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,31-50,Under 18,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
860,KAG_000861,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,1,Unknown,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
861,KAG_000862,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,2,Over 51,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
862,KAG_000863,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,2,18-30,Over 51,Lane Violation,Dry,Daylight,0,0,2,Minor,Clear
863,KAG_000864,Kaggle_road_csv,0,April,Wednesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
864,KAG_000865,Kaggle_road_csv,0,April,Wednesday,Unknown,Truck,Unidentified,2,31-50,Over 51,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
865,KAG_000866,Kaggle_road_csv,0,May,Friday,Unknown,Truck,Unidentified,2,18-30,Under 18,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
866,KAG_000867,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Lane Violation,Dry,Daylight,0,0,1,Serious,Clear
867,KAG_000868,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,Over 51,18-30,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
868,KAG_000869,Kaggle_road_csv,0,June,Wednesday,Unknown,Truck,Unidentified,3,31-50,Unknown,Lane Violation,Wet,Daylight,0,0,1,Minor,Rainy
869,KAG_000870,Kaggle_road_csv,0,August,Wednesday,Unknown,Truck,Unidentified,3,Under 18,Unknown,No Distancing/Rear End,Wet,Daylight,0,0,1,Minor,Rainy
870,KAG_000871,Kaggle_road_csv,0,April,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
871,KAG_000872,Kaggle_road_csv,0,April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
872,KAG_000873,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,1,Unknown,18-30,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
873,KAG_000874,Kaggle_road_csv,0,October,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
874,KAG_000875,Kaggle_road_csv,0,October,Friday,Unknown,Truck,Unidentified,1,18-30,31-50,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
875,KAG_000876,Kaggle_road_csv,0,October,Friday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
876,KAG_000877,Kaggle_road_csv,0,April,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Drunk/Drug Driving,Dry,Daylight,0,0,1,Minor,Clear
877,KAG_000878,Kaggle_road_csv,0,October,Wednesday,Unknown,Truck,Unidentified,2,18-30,31-50,Reckless Driving,Dry,Daylight,0,0,1,Minor,Clear
878,KAG_000879,Kaggle_road_csv,0,April,Wednesday,Unknown,Truck,Unidentified,2,18-30,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
879,KAG_000880,Kaggle_road_csv,0,May,Thursday,Unknown,Truck,Unidentified,2,18-30,Under 18,Reckless Driving,Dry,Dark,0,0,2,Minor,Clear
880,KAG_000881,Kaggle_road_csv,0,October,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Reckless Driving,Dry,Daylight,0,0,2,Minor,Clear
881,KAG_000882,Kaggle_road_csv,0,October,Sunday,Unknown,Truck,Unidentified,2,Unknown,Over 51,Reckless Driving,Dry,Daylight,0,0,2,Minor,Clear
882,KAG_000883,Kaggle_road_csv,0,October,Thursday,Unknown,Truck,Unidentified,2,31-50,Over 51,Lane Violation,Dry,Daylight,0,0,1,Minor,Clear
883,KAG_000884,Kaggle_road_csv,0,May,Saturday,Unknown,Truck,Unidentified,2,31-50,Unknown,Lane Violation,Dry,Dark,0,0,1,Minor,Clear
884,KAG_000885,Kaggle_road_csv,0,March,Monday,Unknown,Truck,Unidentified,2,31-50,31-50,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
885,KAG_000886,Kaggle_road_csv,0,April,Monday,Unknown,Truck,Unidentified,2,Unknown,Unknown,No Distancing/Rear End,Dry,Daylight,0,0,1,Minor,Clear
