month,day_of_week,state,vehicle_1,vehicle_2,vehicles_involved,party_age_group,victim_age_group,road_condition,lighting_condition,weather_group,Actual_Severity,Predicted_Severity,Risk_Score
April,Friday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,23.0
March,Tuesday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Minor,Minor,3.0
May,Monday,Unknown,Truck,Unidentified,2,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,9.185619409053945
September,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Rainy,Minor,Minor,22.0
May,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,4.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,3.230769230769231
September,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,0.44505494505494503
May,Saturday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Severe,Minor,4.553219439398301
April,Thursday,Karnataka,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
May,Sunday,Unknown,Truck,Unidentified,1,31-50,Under 18,Wet,Dark,Clear,Severe,Minor,19.0
August,Wednesday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Wet,Dark,Rainy,Minor,Minor,3.0
June,Tuesday,Odisha,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
January,Tuesday,Rajasthan,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,93.0
November,Saturday,Unknown,Truck,Unidentified,3,Over 51,Unknown,Wet,Daylight,Cold,Minor,Minor,16.0
October,Tuesday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Wet,Dark,Clear,Minor,Minor,19.23076923076923
July,Thursday,Delhi,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
June,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Rainy,Minor,Minor,1.0
July,Wednesday,Himachal Pradesh,Truck,Gorge,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
May,Wednesday,Bihar,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
May,Saturday,Unknown,Truck,Unidentified,3,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,8.0
August,Sunday,Madhya Pradesh,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Rainy,Severe,Minor,45.0
March,Wednesday,Kerala,Truck,Unidentified,4,Over 51,Unknown,Dry,Twilight,Rainy,Severe,Severe,80.0
November,Friday,Uttar Pradesh,Truck,Unidentified,2,Over 51,Unknown,Damaged/Construction,Daylight,Clear,Severe,Minor,36.0
April,Monday,Tamil Nadu,Truck,Unidentified,4,18-30,Unknown,Dry,Daylight,Rainy,Minor,Severe,65.0
May,Friday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Minor,15.0
February,Saturday,Maharashtra,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
May,Sunday,Andhra Pradesh,Two Wheeler,Truck,2,Unknown,31-50,Dry,Daylight,Clear,Severe,Severe,100.0
April,Wednesday,Unknown,Truck,Unidentified,3,18-30,31-50,Dry,Daylight,Clear,Severe,Minor,29.77741146184344
March,Thursday,Punjab,Truck,Unidentified,5,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Severe,64.0
October,Thursday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,2.214285714285714
October,Monday,Maharashtra,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Wednesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,12.0
April,Thursday,Gujarat,Truck,Unidentified,5,18-30,Unknown,Wet,Daylight,Fog/Mist,Minor,Minor,49.0
March,Tuesday,Unknown,Truck,Unidentified,1,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,16.0
June,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,2.0
July,Wednesday,Telangana,Car,Truck,2,Unknown,Unknown,Wet,Dark,Clear,Severe,Severe,100.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Severe,61.18181818181818
September,Monday,Unknown,Truck,Unidentified,2,Over 51,31-50,Wet,Dark,Rainy,Minor,Minor,11.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Minor,Minor,3.0
June,Wednesday,Haryana,Two Wheeler,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,10.0
July,Thursday,Puducherry,Truck,Unidentified,2,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,56.99999999999999
April,Sunday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,12.687269719527785
May,Saturday,Unknown,Truck,Unidentified,3,Over 51,Unknown,Dry,Daylight,Clear,Minor,Minor,36.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,12.835497835497838
May,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,3.0
April,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,9.09090909090909
March,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Clear,Minor,Minor,13.511177695609675
January,Sunday,Tamil Nadu,Car,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,100.0
May,Saturday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,13.0
June,Saturday,Tamil Nadu,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,2.0
April,Wednesday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,36.09090909090909
April,Wednesday,Unknown,Truck,Unidentified,4,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,23.0
October,Sunday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Dry,Daylight,Clear,Minor,Minor,4.0
May,Friday,Unknown,Truck,Two_Wheeler,2,Unknown,Unknown,Dry,Dark,Clear,Minor,Severe,55.00000000000001
August,Wednesday,Unknown,Bus,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,79.0
May,Friday,Unknown,Truck,Unidentified,1,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.024390243902439025
May,Monday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,4.572465088368509
March,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,14.11914830841857
February,Friday,Gujarat,Pedestrian,Truck,2,Unknown,18-30,Dry,Daylight,Clear,Severe,Severe,100.0
August,Thursday,Chandigarh,Truck,Unidentified,3,31-50,Unknown,Dry,Twilight,Clear,Severe,Severe,61.0
May,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Dark,Clear,Minor,Minor,2.3051948051948052
August,Monday,Bihar,Truck,Unidentified,1,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,62.0
April,Saturday,Uttarakhand,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Severe,79.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,0.0
July,Monday,Madhya Pradesh,Truck,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
February,Tuesday,Tamil Nadu,Van,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
July,Tuesday,Punjab,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Severe,Minor,7.1818181818181825
May,Tuesday,Haryana,Suv,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
March,Monday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Daylight,Clear,Minor,Minor,8.0
October,Wednesday,Unknown,Truck,Unidentified,1,18-30,31-50,Dry,Dark,Clear,Severe,Minor,24.0
January,Tuesday,West Bengal,Truck,Unidentified,4,18-30,Unknown,Dry,Twilight,Fog/Mist,Severe,Severe,75.0
May,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,31.696969696969695
December,Monday,Uttar Pradesh,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Minor,Severe,54.0
December,Wednesday,Karnataka,Truck,Unidentified,1,Over 51,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Minor,38.0
June,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Daylight,Rainy,Minor,Minor,0.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,2.090909090909091
October,Thursday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,3.166666666666666
April,Wednesday,Punjab,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
June,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,0.0
April,Friday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
August,Friday,Madhya Pradesh,Pedestrian,Truck,2,Unknown,Under 18,Dry,Dark,Clear,Severe,Severe,100.0
December,Tuesday,Maharashtra,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,100.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Unknown,Dry,Daylight,Clear,Minor,Minor,10.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,2.090909090909091
February,Monday,Uttar Pradesh,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Fog/Mist,Severe,Severe,56.00000000000001
May,Thursday,Unknown,Truck,Unidentified,2,Over 51,31-50,Dry,Daylight,Clear,Minor,Minor,6.0
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,18.76456876456876
April,Monday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,2.0
August,Saturday,Jammu and Kashmir,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Fog/Mist,Minor,Severe,63.0
April,Monday,Unknown,Truck,Unidentified,3,18-30,Unknown,Dry,Daylight,Clear,Severe,Minor,5.230769230769231
October,Friday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Dark,Clear,Minor,Minor,33.0
April,Sunday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Dark,Clear,Severe,Minor,23.0
March,Monday,Unknown,Truck,Unidentified,2,Under 18,Under 18,Dry,Daylight,Clear,Minor,Minor,2.0
April,Thursday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Daylight,Clear,Severe,Minor,3.0
December,Sunday,Jharkhand,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,99.0
February,Tuesday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Thursday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,8.0
September,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Wet,Dark,Rainy,Minor,Minor,0.0
January,Saturday,Chhattisgarh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,99.0
October,Friday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,14.380204502136479
June,Thursday,Maharashtra,Car,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,99.0
May,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Dark,Clear,Minor,Minor,3.0
March,Sunday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Severe,Minor,4.0
October,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,11.166666666666666
February,Monday,Goa,Truck,Unidentified,4,Over 51,Unknown,Damaged/Construction,Dark,Fog/Mist,Minor,Severe,71.0
April,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Dark,Clear,Minor,Minor,0.0
April,Friday,Unknown,Truck,Unidentified,3,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,20.26046738441549
March,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Severe,Minor,6.851981351981353
January,Friday,West Bengal,Truck,Unidentified,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,93.0
May,Thursday,Unknown,Truck,Unidentified,1,18-30,Unknown,Wet,Dark,Clear,Severe,Minor,26.32167832167832
April,Friday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.0
March,Saturday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Dark,Clear,Minor,Minor,7.000000000000001
November,Wednesday,Andhra Pradesh,Truck,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,1,Under 18,31-50,Dry,Dark,Clear,Severe,Minor,46.0
October,Friday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Minor,Minor,1.1818181818181817
March,Sunday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,18.76456876456876
October,Tuesday,Mizoram,Truck,Unidentified,1,Over 51,Unknown,Dry,Twilight,Clear,Severe,Severe,70.0
August,Wednesday,Meghalaya,Truck,Unidentified,5,Over 51,Unknown,Dry,Twilight,Rainy,Minor,Minor,39.0
October,Tuesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,2.090909090909091
May,Saturday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,24.0
August,Thursday,Unknown,Truck,Unidentified,2,31-50,31-50,Wet,Daylight,Rainy,Minor,Minor,3.0
October,Tuesday,Unknown,Truck,Unidentified,2,Unknown,18-30,Dry,Dark,Clear,Minor,Minor,15.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Daylight,Clear,Severe,Minor,28.52137445887446
September,Tuesday,Assam,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
May,Monday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Severe,Minor,2.0
March,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,12.178053830227743
October,Wednesday,Unknown,Truck,Unidentified,2,Under 18,31-50,Dry,Daylight,Clear,Minor,Minor,5.181818181818182
August,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Dark,Rainy,Minor,Minor,5.0
October,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Clear,Minor,Minor,16.44025974025974
March,Tuesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Daylight,Clear,Severe,Minor,11.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,5.0
March,Tuesday,Unknown,Truck,Unidentified,2,31-50,Over 51,Wet,Daylight,Clear,Severe,Minor,11.0
April,Monday,Unknown,Truck,Unidentified,1,Unknown,Unknown,Dry,Dark,Clear,Minor,Minor,20.607392607392608
January,Monday,Maharashtra,Car,Truck,2,Unknown,31-50,Wet,Daylight,Clear,Severe,Severe,100.0
May,Tuesday,Manipur,Truck,Unidentified,5,18-30,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,56.00000000000001
March,Sunday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,7.000000000000001
May,Wednesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,6.0
November,Tuesday,West Bengal,Truck,Unidentified,4,18-30,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,88.0
May,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Severe,63.94890663333862
June,Saturday,Unknown,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,71.0
April,Saturday,Unknown,Truck,Unidentified,4,18-30,Under 18,Dry,Daylight,Clear,Severe,Minor,24.0
December,Thursday,Tamil Nadu,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
March,Thursday,Madhya Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,100.0
November,Sunday,Manipur,Truck,Unidentified,4,31-50,Unknown,Wet,Dark,Rainy,Severe,Minor,50.0
September,Sunday,Karnataka,Pedestrian,Truck,2,Unknown,Under 18,Wet,Dark,Clear,Severe,Severe,99.0
May,Tuesday,Unknown,Truck,Unidentified,2,18-30,Over 51,Dry,Daylight,Clear,Minor,Minor,48.0
October,Saturday,Nagaland,Truck,Unidentified,5,18-30,Unknown,Wet,Dark,Rainy,Severe,Severe,57.99999999999999
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,21.9502103288868
October,Monday,Unknown,Truck,Unidentified,4,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,24.0
February,Thursday,Bihar,Auto Rickshaw,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,98.0
March,Sunday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,13.047619047619047
October,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,25.670163170163168
May,Sunday,Gujarat,Car,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
August,Thursday,Punjab,Truck,Unidentified,4,31-50,Unknown,Damaged/Construction,Daylight,Rainy,Severe,Severe,72.0
March,Wednesday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Severe,57.333333333333336
May,Tuesday,Maharashtra,Auto Rickshaw,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
January,Saturday,Uttar Pradesh,Bus,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,76.0
April,Friday,Tamil Nadu,Truck,Unidentified,2,31-50,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,54.0
June,Sunday,Unknown,Truck,Unidentified,2,18-30,Over 51,Wet,Daylight,Rainy,Minor,Minor,21.047619047619047
July,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Wet,Daylight,Rainy,Minor,Minor,6.0
May,Monday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,11.692160661918729
August,Wednesday,Unknown,Truck,Unidentified,1,Over 51,Unknown,Dry,Daylight,Rainy,Severe,Minor,12.0
March,Friday,Unknown,Truck,Unidentified,2,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,18.09090909090909
March,Saturday,Unknown,Truck,Unidentified,3,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,2.3216783216783217
October,Friday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Clear,Minor,Minor,1.0
November,Saturday,West Bengal,Truck,Unidentified,5,31-50,Unknown,Damaged/Construction,Twilight,Fog/Mist,Severe,Severe,69.0
March,Thursday,Unknown,Truck,Unidentified,2,Under 18,18-30,Wet,Daylight,Clear,Severe,Minor,15.0
October,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,0.22519284712482468
April,Sunday,Rajasthan,Pedestrian,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
November,Sunday,Unknown,Truck,Car,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,74.0
April,Sunday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,9.0
October,Monday,Unknown,Truck,Unidentified,1,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,18.0
October,Saturday,Unknown,Truck,Unidentified,6,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,45.0
March,Friday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,28.869381991313965
December,Monday,West Bengal,Truck,Unidentified,5,18-30,Unknown,Wet,Twilight,Fog/Mist,Severe,Severe,86.0
March,Tuesday,Unknown,Truck,Unidentified,2,31-50,18-30,Dry,Daylight,Clear,Minor,Minor,3.51875529479249
May,Friday,Goa,Truck,Unidentified,3,31-50,Unknown,Wet,Twilight,Rainy,Minor,Severe,68.0
March,Sunday,Unknown,Truck,Unidentified,1,Under 18,Unknown,Wet,Dark,Clear,Minor,Severe,63.0909090909091
April,Tuesday,Bihar,Truck,Car,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,97.0
October,Thursday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Dark,Clear,Minor,Minor,38.25757575757576
September,Wednesday,Haryana,Truck,Unidentified,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,88.0
September,Monday,Unknown,Truck,Unidentified,2,18-30,18-30,Wet,Daylight,Rainy,Minor,Minor,5.0
May,Monday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Minor,43.47186147186147
February,Monday,Uttar Pradesh,Suv,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
October,Friday,Unknown,Truck,Unidentified,1,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,1.0
October,Monday,Unknown,Truck,Unidentified,1,Over 51,31-50,Wet,Daylight,Clear,Severe,Minor,20.0
March,Tuesday,Karnataka,Bus,Truck,2,Unknown,18-30,Wet,Daylight,Clear,Severe,Severe,97.0
October,Friday,Unknown,Truck,Unidentified,2,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,0.23328620304426756
April,Tuesday,Uttar Pradesh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
January,Saturday,Rajasthan,Car,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
June,Wednesday,Jharkhand,Truck,Unidentified,5,31-50,Unknown,Dry,Daylight,Rainy,Severe,Severe,64.0
April,Thursday,Unknown,Truck,Unidentified,1,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,11.115299334811528
October,Tuesday,Unknown,Truck,Unidentified,3,Under 18,18-30,Dry,Daylight,Clear,Minor,Minor,15.0
October,Thursday,Unknown,Truck,Unidentified,4,Unknown,18-30,Wet,Dark,Clear,Minor,Minor,21.0
March,Thursday,Unknown,Truck,Unidentified,3,18-30,18-30,Dry,Daylight,Clear,Minor,Minor,12.0
February,Monday,Maharashtra,Car,Truck,2,Unknown,31-50,Dry,Dark,Clear,Severe,Severe,100.0
April,Saturday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Dark,Clear,Minor,Minor,4.0476190476190474
September,Wednesday,Delhi,Two Wheeler,Truck,2,Unknown,18-30,Dry,Dark,Clear,Severe,Severe,100.0
April,Monday,Unknown,Truck,Unidentified,1,31-50,Unknown,Dry,Daylight,Clear,Severe,Minor,22.257575757575758
June,Tuesday,Puducherry,Truck,Unidentified,3,18-30,Unknown,Damaged/Construction,Twilight,Rainy,Severe,Severe,74.0
April,Tuesday,Unknown,Truck,Unidentified,2,31-50,Under 18,Dry,Dark,Clear,Minor,Minor,4.181818181818182
March,Thursday,Unknown,Truck,Unidentified,2,Over 51,18-30,Dry,Daylight,Clear,Minor,Minor,5.0
March,Friday,Unknown,Truck,Car,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,72.0
June,Monday,Unknown,Truck,Unidentified,2,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,1.0
October,Tuesday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Dark,Clear,Minor,Minor,4.0
December,Tuesday,Unknown,Truck,Unidentified,2,Under 18,Over 51,Wet,Daylight,Fog/Mist,Minor,Minor,30.0
September,Sunday,Unknown,Truck,Unidentified,4,31-50,Unknown,Wet,Daylight,Rainy,Minor,Minor,22.0
September,Wednesday,Karnataka,Pedestrian,Truck,2,Unknown,Under 18,Dry,Daylight,Clear,Severe,Severe,99.0
October,Thursday,Unknown,Truck,Unidentified,2,18-30,Unknown,Dry,Daylight,Clear,Minor,Minor,12.100384960585565
May,Thursday,Unknown,Truck,Unidentified,2,Unknown,31-50,Dry,Dark,Clear,Minor,Minor,0.0
July,Sunday,Unknown,Truck,Unidentified,2,18-30,31-50,Wet,Daylight,Rainy,Minor,Minor,2.0384615384615383
September,Wednesday,Tamil Nadu,Van,Truck,2,Unknown,Unknown,Dry,Daylight,Clear,Severe,Severe,100.0
November,Wednesday,Karnataka,Truck,Unidentified,3,31-50,Unknown,Damaged/Construction,Daylight,Fog/Mist,Severe,Minor,40.0
July,Saturday,Tripura,Truck,Unidentified,1,31-50,Unknown,Dry,Twilight,Rainy,Severe,Severe,65.0
May,Tuesday,Unknown,Truck,Unidentified,2,31-50,Unknown,Dry,Daylight,Clear,Minor,Minor,1.032258064516129
August,Monday,Unknown,Truck,Unidentified,2,31-50,Over 51,Wet,Dark,Rainy,Minor,Minor,8.0
September,Sunday,West Bengal,Two Wheeler,Truck,2,Unknown,Unknown,Wet,Daylight,Clear,Severe,Severe,94.0
May,Saturday,Unknown,Truck,Unidentified,2,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,14.333333333333334
May,Tuesday,Unknown,Truck,Unidentified,2,Unknown,Unknown,Dry,Daylight,Clear,Minor,Severe,64.07792207792207
May,Monday,Unknown,Truck,Unidentified,2,18-30,Under 18,Dry,Daylight,Clear,Minor,Minor,25.253436088634295
September,Wednesday,Rajasthan,Car,Truck,2,Unknown,Under 18,Dry,Dark,Clear,Severe,Severe,99.0
March,Saturday,Unknown,Truck,Unidentified,2,31-50,31-50,Dry,Daylight,Clear,Minor,Minor,3.230769230769231
June,Saturday,Punjab,Truck,Unidentified,1,31-50,Unknown,Damaged/Construction,Twilight,Rainy,Minor,Severe,77.0
August,Friday,Karnataka,Truck,Unidentified,5,18-30,Unknown,Damaged/Construction,Twilight,Clear,Severe,Severe,63.0
April,Friday,Unknown,Truck,Unidentified,2,31-50,Over 51,Dry,Daylight,Clear,Severe,Minor,22.15340909090909
October,Tuesday,Unknown,Truck,Unidentified,1,18-30,31-50,Dry,Daylight,Clear,Minor,Minor,35.43589743589744
October,Wednesday,Chhattisgarh,Two Wheeler,Truck,2,Unknown,Unknown,Dry,Dark,Clear,Severe,Severe,100.0
